id	name	description	category	level
The majority of cars are polluting	Majority of cars polluting	The majority of cars are polluting	Majority of cars polluting	2
Lack of success of existing carpooling solutions due to perceived limitations	Carpooling perceived limitations	Lack of success of existing carpooling solutions due to perceived limitations	Carpooling perceived limitations	2
Concentration of jobs in central business areas	Concentration of jobs	Concentration of jobs in central business areas	Concentration of jobs	2
Polluting leisure traffic	Leisure traffic	Polluting leisure traffic	Leisure traffic	1
Very attractive region for tourism and leisure activities.	Very attractive region	Very attractive region for tourism and leisure activities.	Very attractive region	2
Alternatives to the car are perceived as not practical enough for leisure activities.	Alternatives perceived as not practical	Alternatives to the car are perceived as not practical enough for leisure activities.	Alternatives perceived as not practical	2
Polluting traffic for the purchase of goods and services	Goods and services	Polluting traffic for the purchase of goods and services	Goods and services	1
The clean delivery system is not sufficiently developed	Clean delivery system not sufficiently developed	The clean delivery system is not sufficiently developed	Clean delivery system not sufficiently developed	2
Insufficiently attractive alternatives for clean delivery system	Insufficiently attractive alternatives	Insufficiently attractive alternatives for clean delivery system	Insufficiently attractive alternatives	2
Significant cross border price differences	Cross border price differences	Significant cross border price differences	Cross border price differences	2
Too costly non-polluting alternatives to individual vechicles 	Costly non-polluting alternatives	Too costly non-polluting alternatives to individual vechicles 	Costly non-polluting alternatives	2
Unsufficiently developed alternative energy supply network 	Unsufficiently developed energy network	Unsufficiently developed alternative energy supply network 	Unsufficiently developed energy network	2
Insufficiently developed offer of non-polluting individual vehicules	Insufficiently developed offer	Insufficiently developed offer of non-polluting individual vehicules	Insufficiently developed offer	2
Some public transport vehicles are polluting	Some transport vehicles polluting	Some public transport vehicles are polluting	Some transport vehicles polluting	1
Public transport is perceived as less comfortable and convenient than private transport.	Public transport perceived as less convenient	Public transport is perceived as less comfortable and convenient than private transport.	Public transport perceived as less convenient	2
Bike lanes are not safe enough.	Bike lanes not safe enough	Bike lanes are not safe enough.	Bike lanes not safe enough	1
Lack of investment in the safety of cycle paths	Lack of investment in cycle paths	Lack of investment in the safety of cycle paths	Lack of investment in cycle paths	2
Air pollution generated by freight transport	Freight transport	Air pollution generated by freight transport	Freight transport	0
Polluting freight transport vehicles	Polluting freight vehicles	Polluting freight transport vehicles	Polluting freight vehicles	1
The clean delivery system is not attractive enough	Clean delivery not attractive enough	The clean delivery system is not attractive enough	Clean delivery not attractive enough	2
Air pollution generated by commercial and professional travel	Professional travel	Air pollution generated by commercial and professional travel	Professional travel	0
Polluting commercial vehicles	Polluting commercial vehicles	Polluting commercial vehicles	Polluting commercial vehicles	1
Non-polluting alternatives to commercial vehicles not sufficiently developed	Alternatives not sufficiently developed	Non-polluting alternatives to commercial vehicles not sufficiently developed	Alternatives not sufficiently developed	2
Non-polluting alternatives to commercial vehicles not sufficiently attractive	Alternatives not sufficiently attractive	Non-polluting alternatives to commercial vehicles not sufficiently attractive	Alternatives not sufficiently attractive	2
Air pollution from agricultural traffic	Agricultural traffic	Air pollution from agricultural traffic	Agricultural traffic	0
Polluting agricultural vehicles	Polluting agricultural vehicles	Polluting agricultural vehicles	Polluting agricultural vehicles	1
Non-polluting alternatives to agricultural vehicles not sufficiently developed	Alternatives not sufficiently developed	Non-polluting alternatives to agricultural vehicles not sufficiently developed	Alternatives not sufficiently developed	2
Non-polluting alternatives to agricultural vehicles not sufficiently attractive	Alternatives not sufficiently attractive	Non-polluting alternatives to agricultural vehicles not sufficiently attractive	Alternatives not sufficiently attractive	2
Construction-related air pollution	Construction	Construction-related air pollution	Construction	0
Use of polluting machines on construction sites	Polluting machines	Use of polluting machines on construction sites	Polluting machines	1
Non-polluting alternatives to construction machinery not sufficiently developed	Alternatives not sufficiently developed	Non-polluting alternatives to construction machinery not sufficiently developed	Alternatives not sufficiently developed	2
Emission of dust and fine particles on building sites	Dust and fine particles	Emission of dust and fine particles on building sites	Dust and fine particles	1
Lack of use of emission reduction systems on construction sites	Lack of emission reduction systems	Lack of use of emission reduction systems on construction sites	Lack of emission reduction systems	2
Lack of binding legislation forcing the use of emission reduction systems on construction sites	Lack of binding legislation	Lack of binding legislation forcing the use of emission reduction systems on construction sites	Lack of binding legislation	3
Lack of respect of good practices that limit polluting emissions on construction sites	Lack of respect of good practices	Lack of respect of good practices that limit polluting emissions on construction sites	Lack of respect of good practices	3
Higher cost of implementing good practices on construction sites	Higher cost of good practices	Higher cost of implementing good practices on construction sites	Higher cost of good practices	4
Use of chemicals on construction sites that emit pollutants	Chemicals on construction sites	Use of chemicals on construction sites that emit pollutants	Chemicals on construction sites	1
Not enough clean chemicals for construction sites	Not enough clean chemicals	Not enough clean chemicals for construction sites	Not enough clean chemicals	2
Lack of economic interest in developing non-polluting chemicals for construction sites	Lack of economic interest	Lack of economic interest in developing non-polluting chemicals for construction sites	Lack of economic interest	3
Lack of public funding for research and development of alternatives to polluting chemicals for construction sites	Lack of public funding	Lack of public funding for research and development of alternatives to polluting chemicals for construction sites	Lack of public funding	4
Clean products for construction sites are less developed	Clean products less developed	Clean products for construction sites are less developed	Clean products less developed	2
Lack of stimuli and regulation to encourage the development of non-polluting products for construction sites	Lack of stimuli and regulation	Lack of stimuli and regulation to encourage the development of non-polluting products for construction sites	Lack of stimuli and regulation	3
Clean products for construction sites are more expensive	Clean products more expensive	Clean products for construction sites are more expensive	Clean products more expensive	2
Air pollution generated by wood/gas/oil heating in Geneva	Wood/gas/oil heating	Air pollution generated by wood/gas/oil heating in Geneva	Wood/gas/oil heating	0
The adoption of a non-polluting heating system is an important investment for a household	Important investment for a household	The adoption of a non-polluting heating system is an important investment for a household	Important investment for a household	1
Lack of information on consequences of air pollution from wood-burning systems	Lack of information	Lack of information on consequences of air pollution from wood-burning systems	Lack of information	1
Air pollution related to livestock farming	Livestock farming	Air pollution related to livestock farming	Livestock farming	0
Intensive manure production	Manure production	Intensive manure production	Manure production	1
Overconsumption of animal products	Overconsumption of animal products	Overconsumption of animal products	Overconsumption of animal products	1
Lack of information on the consequences of consuming animal products	Lack of information 	Lack of information on the consequences of consuming animal products	Lack of information 	2
Food habits based on animal products rooted in local culture	Food habits rooted in culture	Food habits based on animal products rooted in local culture	Food habits rooted in culture	2
Air pollution related to land application	Land application	Air pollution related to land application	Land application	0
Lack of information on alternative solutions for non-polluting land application	Lack of information	Lack of information on alternative solutions for non-polluting land application	Lack of information	1
High capital cost of adopting non-polluting land application systems	High cost of non-polluting land application	High capital cost of adopting non-polluting land application systems	High cost of non-polluting land application	1
Market for clean spreading solutions too small to lower prices	Market too small	Market for clean spreading solutions too small to lower prices	Market too small	2
Lack of economic support to encourage investment in clean spreading equipment	Lack of economic support	Lack of economic support to encourage investment in clean spreading equipment	Lack of economic support	2
Air pollution caused by accidents of nuclear/chemical industries/fuel depots in Geneva	Accidents of nuclear/chemical fuel depots	Air pollution caused by accidents of nuclear/chemical industries/fuel depots in Geneva	Accidents of nuclear/chemical fuel depots	0
Use of polluting products in the event of an accident	Use of polluting products	Use of polluting products in the event of an accident	Use of polluting products	1
Commercial and artisanal outdoor air pollution in Geneva	Commercial outdoor air pollution	Commercial and artisanal outdoor air pollution in Geneva	Commercial outdoor air pollution	0
Non-polluting alternatives meeting commercial and artisanal needs not yet widely developed or available	Non-polluting alternatives not available	Non-polluting alternatives meeting commercial and artisanal needs not yet widely developed or available	Non-polluting alternatives not available	1
Low demand for non-polluting alternatives	Low demand for alternatives	Low demand for non-polluting alternatives	Low demand for alternatives	2
Lack of binding legislation to limit outdoor air pollutant emissions from businesses and craftsmen	Lack of binding legislation	Lack of binding legislation to limit outdoor air pollutant emissions from businesses and craftsmen	Lack of binding legislation	2
Non-polluting alternatives meeting commercial and artisanal needs that are too costly	Non-polluting alternatives too costly	Non-polluting alternatives meeting commercial and artisanal needs that are too costly	Non-polluting alternatives too costly	1
Lack of economic support to encourage investment in non-polluting alternatives	Lack of economic support	Lack of economic support to encourage investment in non-polluting alternatives	Lack of economic support	2
Use of products and techniques that emit pollution	Products that emit pollution	Use of products and techniques that emit pollution	Products that emit pollution	1
Too costly non-polluting alternatives meeting commercial and artisanal needs	Too costly alternatives	Too costly non-polluting alternatives meeting commercial and artisanal needs	Too costly alternatives	2
Industrial pollution - chemistry and others in Geneva	Industrial pollution chemistry	Industrial pollution - chemistry and others in Geneva	Industrial pollution chemistry	0
Polluting products and techniques	Polluting products and techniques	Polluting products and techniques	Polluting products and techniques	1
Non-polluting alternatives meeting industrial needs not yet widely developed or available	Non-polluting alternatives not available	Non-polluting alternatives meeting industrial needs not yet widely developed or available	Non-polluting alternatives not available	2
Lack of binding legislation to limit industrial emissions	Lack of binding legislation	Lack of binding legislation to limit industrial emissions	Lack of binding legislation	3
Too costly non-polluting alternatives that meet industrial needs	Too costly alternatives	Too costly non-polluting alternatives that meet industrial needs	Too costly alternatives	2
Industrial pollution - waste incinerator in Geneva	Waste incinerator	Industrial pollution - waste incinerator in Geneva	Waste incinerator	0
Significant production of waste to be incinerated	Significant production of waste	Significant production of waste to be incinerated	Significant production of waste	1
Excessive production of packaging to be incinerated	Excessive packaging	Excessive production of packaging to be incinerated	Excessive packaging	2
Lack of binding legislation to limit the amount of packaging to be incinerated	Lack of binding legislation	Lack of binding legislation to limit the amount of packaging to be incinerated	Lack of binding legislation	3
Unattentive purchasing behaviour to the consequences of excessive use of packaging to be incinerated	Unattentive purchasing behaviour	Unattentive purchasing behaviour to the consequences of excessive use of packaging to be incinerated	Unattentive purchasing behaviour	2
Lack of stimuli to promote alternatives to packaging to be incinerated	Lack of stimuli	Lack of stimuli to promote alternatives to packaging to be incinerated	Lack of stimuli	3
Lack of clean alternatives of incineration techniques	Lack of clean alternatives	Lack of clean alternatives of incineration techniques	Lack of clean alternatives	1
Lack of binding legislation to significantly reduce pollutant emissions from incinerators	Lack of binding legislation	Lack of binding legislation to significantly reduce pollutant emissions from incinerators	Lack of binding legislation	2
Domestic indoor air pollution in Geneva	Domestic indoor air pollution	Domestic indoor air pollution in Geneva	Domestic indoor air pollution	0
Use of polluting materials	Use of polluting materials	Use of polluting materials	Use of polluting materials	1
Lack of binding legislation to prevent the use of pollutants in household products	Lack of binding legislation	Lack of binding legislation to prevent the use of pollutants in household products	Lack of binding legislation	2
Lack of ventilation	Lack of ventilation	Lack of ventilation	Lack of ventilation	1
Lack of information on risks related to indoor pollution	Lack of information	Lack of information on risks related to indoor pollution	Lack of information	2
Presence of polluted outside air	Polluted outside air	Presence of polluted outside air	Polluted outside air	2
Industrial pollution - cement/quarries in Geneva	Cement/quarries	Industrial pollution - cement/quarries in Geneva	Cement/quarries	0
Widespread use of air-polluting building materials	Air-polluting building materials	Widespread use of air-polluting building materials	Air-polluting building materials	1
Lack of alternative, non-polluting, efficient and cheap building materials	Lack of alternative materials	Lack of alternative, non-polluting, efficient and cheap building materials	Lack of alternative materials	2
Lack of environmentally friendly practices for the extraction of building materials	Lack of environmentally friendly practices	Lack of environmentally friendly practices for the extraction of building materials	Lack of environmentally friendly practices	1
Oil/gas transport accidents generating air pollution in Geneva	Oil/gas transport accidents	Oil/gas transport accidents generating air pollution in Geneva	Oil/gas transport accidents	0
Transport of polluting products	Transport of polluting products	Transport of polluting products	Transport of polluting products	1
Air polluting products transport accidents generating air pollution in Geneva	Products transport accidents	Air polluting products transport accidents generating air pollution in Geneva	Products transport accidents	0
Commercial and artisanal indoor air pollution in Geneva	Commercial indoor air pollution	Commercial and artisanal indoor air pollution in Geneva	Commercial indoor air pollution	0
Use of materials, products and machines that generate indoor air pollution	Materials, products and machines	Use of materials, products and machines that generate indoor air pollution	Materials, products and machines	1
Lack of binding legislation preventing the use of materials, products and machinery that generate indoor air pollution	Lack of binding legislation	Lack of binding legislation preventing the use of materials, products and machinery that generate indoor air pollution	Lack of binding legislation	2
Poor maintenance and non-renewal of appliances that generate indoor air pollution	Poor maintenance	Poor maintenance and non-renewal of appliances that generate indoor air pollution	Poor maintenance	1
Lack of filtration systems on appliances or in commercial and artisanal premises generating indoor air pollution	Lack of filtration systems	Lack of filtration systems on appliances or in commercial and artisanal premises generating indoor air pollution	Lack of filtration systems	1
Air pollution generated by diesel rail traffic in Geneva	Diesel rail traffic	Air pollution generated by diesel rail traffic in Geneva	Diesel rail traffic	0
Lack of legislation preventing diesel rail traffic	Lack of legislation	Lack of legislation preventing diesel rail traffic	Lack of legislation	1
Alternatives to diesel engines for rail too expensive	Alternatives too expensive	Alternatives to diesel engines for rail too expensive	Alternatives too expensive	1
Industrial pollution - waste water treatment in Geneva	Waste water treatment	Industrial pollution - waste water treatment in Geneva	Waste water treatment	0
Lack of filtration to avoid air pollution during wastewater treatment	Lack of filtration	Lack of filtration to avoid air pollution during wastewater treatment	Lack of filtration	1
Lack of binding legislation to prevent related pollution during waste water treatment	Lack of binding legislation	Lack of binding legislation to prevent related pollution during waste water treatment	Lack of binding legislation	2
Air pollution caused by fires in buildings / industries / forests in Geneva	Fires in buildings	Air pollution caused by fires in buildings / industries / forests in Geneva	Fires in buildings	0
Combustion generates pollutants	Combustion	Combustion generates pollutants	Combustion	1
Air pollution generated by motorized traffic on lakes and waterways in Geneva	Motorized traffic on lakes	Air pollution generated by motorized traffic on lakes and waterways in Geneva	Motorized traffic on lakes	0
Polluting engines frequently found on boats	Polluting engines	Polluting engines frequently found on boats	Polluting engines	1
Underdeveloped clean engines for boats	Underdeveloped clean engines	Underdeveloped clean engines for boats	Underdeveloped clean engines	2
Unattractive clean engines for boats	Unattractive clean engines	Unattractive clean engines for boats	Unattractive clean engines	2
Non-animal biogenic sources (some forests) in Geneva	Biogenic sources	Non-animal biogenic sources (some forests) in Geneva	Biogenic sources	0
Presence of natural biogenic sources	Natural biogenic	Presence of natural biogenic sources	Natural biogenic	1
Air pollution generated by faulty refrigeration/air-conditioning systems in Geneva	Faulty air-conditioning	Air pollution generated by faulty refrigeration/air-conditioning systems in Geneva	Faulty air-conditioning	0
Poor maintenance and non-renewal of refrigerating appliances containing polluting products	Poor maintenance	Poor maintenance and non-renewal of refrigerating appliances containing polluting products	Poor maintenance	1
Lack of binding legislation to prevent pollution from refrigerating appliances	Lack of binding legislation	Lack of binding legislation to prevent pollution from refrigerating appliances	Lack of binding legislation	2
Sand mist in Geneva	Sand mist	Sand mist in Geneva	Sand mist	0
Natural meteorological phenomena	Meteorological phenomena	Natural meteorological phenomena	Meteorological phenomena	1
